iter	RMSE
0	1.100425199
1	1.063219756
2	1.029262807
3	0.999497931
4	0.9744916166
5	0.9525494808
6	0.9329299767
7	0.9160804962
8	0.9014035886
9	0.8898906083
10	0.8786947486
11	0.8695355463
12	0.8604068007
13	0.8559980196
14	0.8491161326
15	0.8433428163
16	0.8365047955
17	0.8291597331
18	0.8256717741
19	0.819764024
20	0.8150288099
21	0.8119638387
22	0.8061749855
23	0.8013759739
24	0.7975932359
25	0.7955558259
26	0.7928795724
27	0.7892065527
28	0.7860509979
29	0.7833992864
30	0.7799842133
31	0.7781853262
32	0.7758346594
33	0.7739345137
34	0.7729395942
35	0.7709369713
36	0.7689767861
37	0.7668487459
38	0.765298901
39	0.7638074657
40	0.7634036135
41	0.7626040434
42	0.7619736554
43	0.760800448
44	0.7592958061
45	0.7586156439
46	0.7572703953
47	0.7554136872
48	0.7548399828
49	0.7537858526
50	0.7533042358
51	0.7526797639
52	0.7508703407
53	0.7503128079
54	0.7490572481
55	0.748711227
56	0.7486879562
57	0.7465403493
58	0.7449727558
59	0.7441117584
60	0.7435176171
61	0.7423422508
62	0.7402076165
63	0.7387724032
64	0.7384468797
65	0.7384171059
66	0.737872689
67	0.7372016468
68	0.7363231121
69	0.7358097701
70	0.7352317145
71	0.7349122993
72	0.7345529512
73	0.7337834523
74	0.7330024684
75	0.7325637406
76	0.7319222155
77	0.7313744386
78	0.7303967043
79	0.7295084582
80	0.7288104769
81	0.7279076816
82	0.7269254747
83	0.7262011337
84	0.7260407904
85	0.7251986924
86	0.7245331266
87	0.724426167
88	0.7234539124
89	0.7229488761
90	0.7228792133
91	0.722679254
92	0.7219327252
93	0.7212957777
94	0.7210868652
95	0.7210301785
96	0.7199394905
97	0.7195318098
98	0.7179515845
99	0.7164072492
100	0.715663143
101	0.7152653977
102	0.7151035691
103	0.7136277898
104	0.7130331864
105	0.7125702102
106	0.712273791
107	0.7114443186
108	0.7113069706
109	0.7111418691
110	0.7102210538
111	0.7099796692
112	0.7097458786
113	0.7091161194
114	0.7082866584
115	0.7074301115
116	0.7073858182
117	0.7066072426
118	0.7055463127
119	0.7054688161
120	0.7050981493
121	0.7047915246
122	0.7040782317
123	0.7036697721
124	0.7029540033
125	0.7028306963
126	0.7027623842
127	0.7025240661
128	0.7021902455
129	0.7013533033
130	0.7012981368
131	0.7001474834
132	0.6990556645
133	0.6989820378
134	0.6986862264
135	0.6982651471
136	0.6971991389
137	0.6970884217
138	0.6961575985
139	0.6957198837
140	0.6949663614
141	0.6948305324
142	0.6946374685
143	0.6942313817
144	0.6941748126
145	0.6940679959
146	0.693821151
147	0.6936816292
148	0.6935691942
149	0.6934165802
150	0.6932385214
151	0.6927607197
152	0.6918678843
153	0.6911132434
154	0.6902946813
155	0.6901166585
156	0.6897708193
157	0.6891749344
158	0.6887054366
159	0.6886732713
160	0.687958301
161	0.6878297727
162	0.6874637153
163	0.6868708617
164	0.6867438212
165	0.6865072338
166	0.6863197667
167	0.6856891422
168	0.6847412482
169	0.6844440903
170	0.6843686492
171	0.6836973138
172	0.6821648229
173	0.6816676566
174	0.6805629124
175	0.6803040331
176	0.6802181518
177	0.6798360567
178	0.6793842239
179	0.6792413703
180	0.6781738208
181	0.6781005165
182	0.678032364
183	0.6779590445
184	0.6776390786
185	0.6773131025
186	0.677113982
187	0.6769797592
188	0.6768044655
189	0.6767119691
190	0.6763851577
191	0.6763677601
192	0.6762506266
193	0.6760021644
194	0.6751464193
195	0.6749762423
196	0.6748537653
197	0.6748274558
198	0.6742981396
199	0.6738136383
200	0.6737039422
201	0.6736291458
202	0.6734978419
203	0.6734860364
204	0.6733502895
205	0.6729007185
206	0.6725166044
207	0.672510765
208	0.672040551
209	0.6718384272
210	0.6714580094
211	0.6710553075
212	0.6709607202
213	0.670960679
214	0.6708202984
215	0.6707736083
216	0.6702030256
217	0.6700367317
218	0.6696385646
