iter	Passed	Remaining
0	74	89398
1	149	89323
2	223	89060
3	297	88956
4	371	88693
5	444	88454
6	520	88663
7	599	89382
8	674	89282
9	722	85946
10	795	85999
11	869	86043
12	942	86071
13	952	80688
14	1026	81090
15	1100	81428
16	1174	81698
17	1248	81964
18	1321	82138
19	1395	82323
20	1469	82521
21	1543	82621
22	1617	82763
23	1691	82871
24	1765	82966
25	1793	80982
26	1867	81114
27	1940	81239
28	2014	81355
29	2088	81452
30	2162	81547
31	2236	81620
32	2309	81682
33	2383	81743
34	2431	80928
35	2505	81009
36	2579	81066
37	2652	81121
38	2726	81161
39	2799	81183
40	2807	79360
41	2880	79425
42	2953	79479
43	3027	79536
44	3101	79595
45	3174	79646
46	3221	79041
47	3295	79086
48	3369	79140
49	3443	79195
50	3456	77862
51	3503	77337
52	3521	76202
53	3531	74937
54	3604	75031
55	3622	73993
56	3629	72790
57	3703	72927
58	3777	73048
59	3850	73160
60	3924	73271
61	3997	73375
62	4071	73478
63	4145	73576
64	4218	73669
65	4225	72609
66	4298	72692
67	4372	72782
68	4445	72863
69	4457	71962
70	4530	72048
71	4604	72130
72	4678	72221
73	4751	72306
74	4825	72382
75	4872	72067
76	4946	72135
77	5019	72204
78	5067	71905
79	5141	71975
80	5214	72035
81	5288	72101
82	5361	72154
83	5435	72211
84	5483	71926
85	5556	71973
86	5629	72020
87	5642	71297
88	5716	71357
89	5791	71430
90	5802	70712
91	5850	70465
92	5925	70534
93	5974	70295
94	6048	70356
95	6061	69703
96	6136	69777
97	6210	69836
98	6285	69897
99	6359	69959
100	6433	70006
101	6507	70049
102	6535	69605
103	6609	69654
104	6683	69697
105	6756	69729
106	6829	69762
107	6903	69799
108	6976	69830
109	7050	69860
110	7124	69898
111	7198	69926
112	7272	69958
113	7347	69992
114	7421	70016
115	7495	70040
116	7543	69824
117	7617	69850
118	7692	69877
119	7767	69904
120	7842	69931
121	7915	69942
122	7989	69954
123	8061	69956
124	8136	69973
125	8210	69986
126	8283	69985
127	8357	69990
128	8430	69994
129	8504	69997
130	8578	70002
131	8652	70004
132	8726	70005
133	8799	69998
134	8872	69995
135	8946	69993
136	9019	69985
137	9093	69976
138	9166	69966
139	9239	69954
140	9312	69945
