iter	RMSE
0	1.058387916
1	0.9940818855
2	0.9353798175
3	0.8855139369
4	0.8413772054
5	0.8026672977
6	0.7723135754
7	0.7422361638
8	0.7182341501
9	0.6979750389
10	0.6803833408
11	0.6661127728
12	0.651294362
13	0.6384357234
14	0.6281030327
15	0.619219342
16	0.6115267663
17	0.6044849385
18	0.5985666006
19	0.5932599413
20	0.587974217
21	0.5844097117
22	0.5804949746
23	0.5772013001
24	0.5741345356
25	0.5718144937
26	0.5692918835
27	0.5669821614
28	0.5646682138
29	0.5627957656
30	0.5610296151
31	0.5591282984
32	0.5577278658
33	0.5560245014
34	0.5547845284
35	0.5534173245
36	0.5520927843
37	0.5508363314
38	0.5494544382
39	0.5476545731
40	0.5463473106
41	0.545528564
42	0.5452448118
43	0.5438670037
44	0.5428500666
45	0.5419899627
46	0.5415768525
47	0.5406701764
48	0.5400791253
49	0.5389576174
50	0.5380186635
51	0.5374680507
52	0.536380312
53	0.5355546899
54	0.5345240526
55	0.5338039858
56	0.5326593067
57	0.5325450062
58	0.531546978
59	0.5312951032
60	0.5310076635
61	0.5299037514
62	0.5294415753
63	0.5290446863
64	0.528920122
65	0.5284060293
66	0.5279419418
67	0.5279399843
68	0.5273067836
69	0.5272557988
70	0.5267233134
71	0.5260568504
72	0.5250586926
73	0.5243572408
74	0.523775457
75	0.52342158
76	0.5233537879
77	0.5228385969
78	0.5224894126
79	0.5223158805
80	0.5218015925
81	0.5216182953
82	0.5211994547
83	0.5205877536
84	0.5202909822
85	0.5198402723
86	0.5191951499
87	0.5190930154
88	0.5183080749
89	0.5178733334
90	0.5175846961
91	0.516525193
92	0.5157849146
93	0.51517422
94	0.5148514995
95	0.5144563182
96	0.5139188558
97	0.5132623444
98	0.5131366073
99	0.5125443723
100	0.5122648638
101	0.511916919
102	0.5115152143
103	0.5111606939
104	0.5103139003
105	0.5098599921
106	0.5094419789
107	0.5092284194
108	0.5091752727
109	0.5088837327
110	0.5083005306
111	0.507577359
112	0.5075359851
113	0.507274959
114	0.507110812
115	0.5066533271
116	0.5057363258
117	0.5055727421
118	0.5051714479
119	0.5049114918
120	0.504823145
121	0.5045102179
122	0.5041263912
123	0.5039607265
124	0.5034921146
125	0.5030312291
126	0.5022129272
127	0.5021023986
128	0.5020970746
129	0.5020761349
130	0.5018615002
131	0.5015985925
132	0.5012663073
133	0.5008727046
134	0.5002902444
135	0.5001319326
136	0.4995803838
137	0.4994022022
138	0.4989185102
139	0.4986466175
140	0.4982419297
141	0.4982364815
142	0.4980934793
143	0.4980636566
144	0.4976932699
145	0.4975136093
146	0.4973232722
147	0.4972809898
148	0.4969117666
149	0.4968734148
150	0.4963987231
151	0.4960443992
152	0.4958481904
153	0.4955043183
154	0.4954983395
155	0.4953515704
156	0.4953483436
157	0.4949573565
158	0.4946821447
159	0.4942212404
160	0.4939985906
161	0.4935603601
162	0.493503767
163	0.4932802067
164	0.493208132
165	0.4929229703
166	0.4925600197
167	0.4925037873
168	0.49241702
169	0.4920232835
170	0.4917641666
171	0.4917552561
172	0.4913384703
173	0.4911576073
174	0.4908521658
175	0.4908520255
176	0.49077367
177	0.4907046529
178	0.4906014181
179	0.4903069558
180	0.4900112199
181	0.4898158577
182	0.4892656064
183	0.4889335632
184	0.4886052144
185	0.4882117906
186	0.4876712576
187	0.4875420295
188	0.4875380445
189	0.4874281176
190	0.4869319371
191	0.4865131434
192	0.4864440884
193	0.486357345
194	0.4863573166
195	0.4863554468
196	0.4863520186
197	0.4856382978
198	0.4856379857
199	0.4854304744
200	0.4852309677
201	0.4847850958
202	0.484783362
203	0.4847807186
204	0.4847792974
205	0.4845200888
206	0.4839343474
207	0.4837490642
208	0.4837482096
209	0.4833270849
210	0.4829590343
211	0.4825873051
212	0.4824289536
213	0.482427754
214	0.4820316037
215	0.4820264296
216	0.4820109071
217	0.4819539585
218	0.4818656061
219	0.4814675624
220	0.4813614305
221	0.4811252116
222	0.4811134406
223	0.4801935793
224	0.4801289534
225	0.4797389758
226	0.479737511
227	0.479735802
228	0.4793622057
229	0.4792586121
230	0.4792274736
231	0.479020781
232	0.4790195728
233	0.4788899667
234	0.4783291345
235	0.4775780929
236	0.4773932867
237	0.4771605324
238	0.4770535868
239	0.4770518248
240	0.476845634
241	0.4767407999
242	0.4767286315
243	0.4766450346
244	0.4762161384
245	0.4760502694
246	0.4759664664
247	0.4759251385
248	0.4754454136
249	0.4750375668
250	0.4747580201
251	0.4747571929
252	0.474451663
253	0.474442471
254	0.4741266682
255	0.4739979917
256	0.4739829185
257	0.4739479446
258	0.4735679202
259	0.4731835137
260	0.4730776933
261	0.4725986206
262	0.4721468605
263	0.4721187261
264	0.471842035
265	0.4717826321
266	0.4713711192
267	0.4711377588
268	0.4707540316
269	0.4703517991
270	0.4702881207
271	0.4701601374
272	0.4700558056
273	0.4697915237
274	0.4696004844
275	0.4695829372
276	0.4693245546
277	0.4692823188
278	0.4688591777
279	0.4687023177
280	0.4684695839
281	0.4684496265
282	0.4683695091
283	0.4683372347
284	0.4683356165
285	0.4682100424
286	0.4677178235
287	0.4675479818
288	0.4674609155
289	0.4672937965
290	0.4672121685
291	0.4672115639
292	0.4672111805
293	0.4668491668
294	0.4663760755
295	0.466173306
296	0.4660899592
297	0.466008416
298	0.4656914653
299	0.4653157581
300	0.465263859
301	0.4652133759
302	0.4649510981
303	0.4649506683
304	0.4645507967
305	0.4645503221
306	0.4644230718
307	0.46439352
308	0.4643053725
309	0.4642703521
310	0.4642700257
311	0.4641960885
312	0.464187005
313	0.4641826859
314	0.4639827443
315	0.463914286
316	0.4639115831
317	0.4638371283
318	0.4637506281
319	0.4635316241
320	0.4635070544
321	0.4634029047
322	0.4633294091
323	0.4633172603
324	0.4633108363
325	0.4632296814
326	0.4630626571
327	0.4629982887
328	0.4629979613
329	0.4622931775
330	0.4621895145
331	0.4621891419
332	0.4621653505
333	0.4621612361
334	0.4620450183
335	0.4620024599
336	0.4619938255
337	0.4618948834
338	0.4618948088
339	0.4613947926
340	0.4613360159
341	0.4612903004
342	0.4612724222
343	0.4612721982
344	0.4611221254
345	0.4609836614
346	0.4609471183
347	0.4609392264
348	0.4607920953
349	0.4607814944
350	0.4605004899
351	0.460208565
352	0.4601827848
353	0.460083603
354	0.459895557
355	0.4596937957
356	0.4596908132
357	0.4596889698
358	0.4596371398
359	0.4596363004
360	0.4594806103
361	0.4592633505
362	0.4588968686
363	0.458802154
364	0.4586523546
365	0.4585077353
366	0.4584426974
367	0.4581432807
368	0.4580058416
369	0.4580018703
370	0.4579655104
371	0.4579518503
372	0.4579460281
373	0.4579440873
374	0.4576477316
375	0.4576468886
376	0.4576378709
377	0.4576335501
378	0.4572751487
379	0.4571955143
380	0.4569849777
381	0.4569005278
382	0.4568941041
383	0.4568940437
384	0.4568936366
385	0.4568829905
386	0.4566790836
387	0.4564384533
388	0.4561546525
389	0.4558503172
390	0.4558357624
391	0.4558353392
392	0.4557781129
393	0.4555456576
394	0.4553555409
395	0.4550097299
396	0.454980036
397	0.4549796726
398	0.4549488107
399	0.4541097559
400	0.4541096952
401	0.45410968
402	0.4540881357
403	0.4537031237
404	0.4534055308
405	0.453165397
406	0.4531552563
407	0.4531428195
408	0.4530289266
409	0.4528116448
410	0.4528114014
411	0.4528112036
412	0.4528104732
413	0.4528102754
414	0.4528059238
415	0.4528025917
416	0.4527994725
417	0.4527506886
418	0.4521567806
419	0.4520275198
420	0.4519529518
421	0.451687001
422	0.4515067192
423	0.4515065514
424	0.4513368832
425	0.4512162895
426	0.4511796118
427	0.451176909
428	0.4509845229
429	0.4509052902
430	0.4508957709
431	0.4508936776
432	0.4507955239
433	0.4504281024
434	0.4503889589
435	0.4503669307
436	0.4503356609
437	0.4502696415
438	0.450269565
439	0.4502664282
440	0.4502378906
441	0.4502316778
442	0.4501925632
443	0.4501708467
444	0.4499827003
445	0.4499724266
446	0.4496819404
447	0.4496767006
448	0.4494684056
449	0.4492771434
450	0.4492754872
451	0.4492620382
452	0.449224925
453	0.449208315
454	0.4489519257
455	0.4489311007
456	0.4489307784
457	0.448843447
458	0.4488380899
459	0.4488362326
460	0.4485455943
461	0.4483767878
462	0.4481805556
463	0.4481053628
464	0.448006383
465	0.4479638443
466	0.4478063576
467	0.447805373
468	0.4477713855
469	0.4476812733
470	0.447680827
471	0.4476333322
472	0.4476333322
473	0.44762479
474	0.4476244206
475	0.4475182065
476	0.4474782696
477	0.4474267498
478	0.447423008
479	0.4474229002
480	0.447420729
481	0.447416864
482	0.4474137072
483	0.4474132915
484	0.4472934421
485	0.4472917015
486	0.4472886517
487	0.4472886055
488	0.4472435955
489	0.4472089491
490	0.4472089799
491	0.4471994282
492	0.4471446868
493	0.4471446868
494	0.4471446714
495	0.4470571452
496	0.447021498
497	0.4470094609
498	0.4470077192
499	0.4470069948
500	0.4464720361
501	0.4464702924
502	0.4463394157
503	0.4463385513
504	0.4462219644
505	0.4461569114
506	0.4461369906
507	0.4461219181
508	0.4461151539
509	0.4459023058
510	0.4454061619
