iter	Passed	Remaining
0	28	22393
1	101	40426
2	174	46266
3	247	49174
4	275	43726
5	347	46040
6	357	40507
7	430	42613
8	457	40242
9	530	41932
10	548	39335
11	560	36823
12	633	38351
13	706	39658
14	734	38422
15	807	39556
16	879	40530
17	952	41398
18	1025	42150
19	1098	42824
20	1171	43439
21	1198	42376
22	1270	42933
23	1298	41980
24	1370	42495
25	1444	42989
26	1471	42135
27	1518	41866
28	1591	42313
29	1664	42723
30	1737	43093
31	1810	43445
32	1883	43776
33	1955	44062
34	2028	44334
35	2101	44598
36	2174	44841
37	2247	45073
38	2322	45309
39	2396	45539
40	2471	45744
41	2545	45940
42	2559	45052
43	2633	45252
44	2707	45432
45	2781	45600
46	2810	45032
47	2839	44484
48	2913	44648
49	2987	44810
50	3061	44961
51	3135	45103
52	3209	45235
53	3257	45003
54	3331	45128
55	3405	45244
56	3478	45349
57	3489	44642
58	3564	44765
59	3592	44308
60	3606	43686
61	3680	43809
62	3754	43919
63	3801	43720
64	3815	43144
65	3890	43262
66	3963	43359
67	3971	42749
68	4044	42845
69	4052	42257
70	4124	42350
71	4197	42443
72	4270	42533
73	4343	42617
74	4390	42445
75	4466	42547
76	4476	42036
77	4550	42124
78	4624	42204
79	4696	42270
80	4769	42336
81	4842	42399
82	4914	42458
83	4942	42131
84	5015	42188
85	5089	42251
86	5162	42310
87	5189	41990
88	5263	42046
89	5336	42096
90	5383	41941
91	5456	41989
92	5529	42034
93	5601	42072
94	5629	41775
95	5701	41813
96	5774	41850
97	5847	41884
98	5859	41491
99	5932	41527
100	6005	41561
101	6078	41594
102	6125	41451
103	6198	41481
104	6271	41510
105	6344	41541
106	6417	41564
107	6490	41586
108	6508	41259
109	6581	41286
110	6654	41304
111	6727	41327
112	6774	41188
113	6847	41207
114	6920	41221
115	6992	41233
116	7066	41251
117	7140	41268
118	7213	41280
119	7285	41284
120	7302	40980
121	7376	40991
122	7448	40999
123	7521	41006
124	7595	41014
125	7668	41020
126	7741	41022
127	7813	41021
128	7823	40692
129	7832	40367
130	7905	40370
131	7977	40373
132	8050	40374
133	8123	40375
134	8196	40374
135	8268	40371
136	8341	40369
137	8414	40366
138	8487	40363
139	8560	40357
140	8633	40348
141	8639	40032
142	8711	40023
143	8784	40018
144	8857	40010
145	8930	40001
146	9002	39990
147	9074	39978
148	9147	39966
149	9193	39838
150	9266	39827
151	9338	39812
152	9411	39799
153	9483	39781
154	9491	39495
155	9563	39480
156	9569	39193
157	9643	39183
158	9715	39168
159	9788	39152
160	9860	39137
161	9933	39121
162	9961	38927
163	10033	38909
164	10105	38891
165	10178	38873
166	10251	38855
167	10323	38837
168	10396	38817
169	10469	38797
170	10541	38776
171	10569	38590
172	10641	38568
173	10714	38547
174	10786	38524
175	10794	38271
176	10866	38249
177	10939	38227
178	11012	38204
179	11085	38181
180	11157	38158
181	11230	38133
182	11303	38110
183	11376	38085
184	11448	38059
185	11522	38035
186	11595	38011
187	11668	37985
188	11681	37762
189	11754	37736
190	11827	37712
191	11900	37685
192	11973	37658
193	12045	37628
194	12052	37392
195	12058	37160
196	12105	37052
197	12177	37025
198	12184	36798
199	12257	36773
200	12331	36748
201	12405	36725
202	12414	36510
203	12425	36300
204	12433	36087
205	12507	36066
206	12582	36045
207	12656	36021
208	12665	35813
209	12737	35787
210	12810	35760
211	12883	35732
212	12956	35705
213	12963	35499
214	13036	35472
215	13049	35281
216	13066	35106
217	13139	35079
218	13212	35051
219	13284	35023
220	13357	34996
221	13430	34968
222	13440	34775
223	13513	34748
224	13585	34719
225	13658	34689
226	13670	34507
227	13678	34316
228	13751	34287
229	13823	34258
230	13896	34229
231	13968	34199
232	13976	34010
233	14049	33982
234	14122	33954
235	14196	33926
236	14268	33896
237	14342	33867
238	14415	33836
239	14423	33654
240	14496	33623
241	14568	33592
242	14578	33416
243	14651	33386
244	14724	33355
245	14797	33323
246	14870	33292
247	14942	33259
248	15015	33227
249	15088	33195
250	15161	33162
251	15179	33008
252	15251	32974
253	15324	32941
254	15397	32907
255	15469	32873
256	15543	32840
257	15616	32806
258	15689	32772
259	15762	32737
260	15835	32701
261	15908	32667
262	15981	32631
263	16054	32595
264	16127	32559
265	16200	32523
266	16274	32487
267	16346	32450
268	16420	32412
269	16493	32376
270	16566	32339
271	16639	32300
272	16712	32261
273	16785	32222
274	16857	32183
275	16931	32145
276	17004	32105
277	17077	32066
278	17150	32026
279	17223	31985
280	17295	31944
281	17368	31904
282	17440	31861
283	17452	31709
284	17460	31550
285	17532	31508
286	17605	31469
287	17678	31427
288	17750	31385
289	17822	31343
290	17895	31301
291	17901	31144
292	17907	30986
293	17979	30944
294	18052	30903
295	18125	30862
296	18197	30819
297	18269	30776
298	18342	30734
299	18414	30691
300	18487	30648
301	18559	30604
302	18631	30560
303	18637	30408
304	18710	30365
305	18716	30216
306	18788	30172
307	18862	30131
308	18935	30088
309	19008	30045
310	19014	29896
311	19086	29853
312	19133	29769
313	19206	29727
314	19279	29683
315	19351	29639
316	19364	29504
317	19436	29461
318	19509	29417
319	19582	29374
320	19655	29330
321	19728	29286
322	19800	29241
323	19873	29197
324	19920	29114
325	19993	29070
326	20067	29027
327	20144	28988
328	20152	28850
329	20226	28807
330	20306	28772
331	20315	28637
332	20390	28595
333	20410	28476
334	20484	28433
335	20557	28389
336	20605	28309
337	20679	28265
338	20687	28132
339	20761	28088
340	20834	28044
341	20908	28000
342	20955	27920
343	20962	27787
344	21036	27743
345	21109	27698
346	21182	27653
347	21210	27549
348	21284	27505
349	21358	27460
350	21432	27416
351	21505	27371
352	21579	27325
353	21652	27279
354	21725	27233
355	21797	27186
356	21810	27064
357	21822	26942
358	21894	26895
359	21901	26768
360	21974	26722
361	22047	26675
362	22120	26629
363	22193	26584
364	22267	26537
365	22341	26492
366	22415	26446
367	22488	26399
368	22562	26353
369	22580	26242
370	22653	26195
371	22727	26148
372	22774	26071
373	22822	25995
374	22895	25948
375	22905	25829
376	22979	25783
377	23027	25707
378	23101	25661
379	23173	25612
380	23246	25564
381	23318	25516
382	23391	25467
383	23397	25347
384	23406	25230
385	23479	25182
386	23551	25133
387	23624	25085
388	23696	25036
389	23769	24988
390	23843	24941
391	23853	24826
392	23925	24777
393	23998	24729
394	24071	24680
395	24144	24632
396	24216	24582
397	24226	24470
398	24298	24420
399	24372	24372
400	24380	24258
401	24386	24143
402	24463	24099
403	24536	24050
404	24609	24001
405	24681	23952
406	24698	23849
407	24771	23800
408	24844	23750
409	24916	23701
410	24927	23592
411	24934	23481
412	24946	23375
413	24953	23266
414	24966	23161
415	24994	23071
416	25006	22967
417	25078	22918
418	25151	22870
419	25223	22821
420	25296	22772
421	25368	22723
422	25440	22673
423	25447	22567
424	25520	22518
425	25593	22469
426	25665	22419
427	25682	22322
428	25754	22272
429	25827	22223
430	25899	22174
431	25913	22074
432	25985	22025
433	26058	21975
434	26131	21926
435	26203	21876
436	26276	21826
437	26347	21776
438	26354	21671
439	26366	21572
440	26439	21523
441	26485	21452
442	26558	21402
443	26631	21352
444	26703	21303
445	26776	21253
446	26850	21203
447	26857	21102
448	26930	21052
449	27003	21003
450	27050	20932
451	27123	20882
452	27195	20832
453	27268	20781
454	27341	20731
455	27414	20680
456	27422	20581
457	27494	20530
458	27542	20461
459	27559	20370
460	27633	20320
461	27706	20270
462	27779	20219
463	27852	20169
464	27925	20118
465	27998	20067
466	28071	20016
467	28080	19920
468	28155	19870
469	28228	19820
470	28239	19725
471	28313	19675
472	28320	19579
473	28349	19497
474	28357	19402
475	28430	19351
476	28504	19302
477	28578	19251
478	28626	19184
479	28634	19089
